GA_ID,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,101195.8403,101415.9398,101449.9428,101448.7989,101348.2914,101276.6357,101171.729,101088.6643,101125.7107,101013.4288,101047.2622,100992.489,101148.7025,101361.7217,101447.7284,101429.037,101365.2092,101185.7036,101103.7013,101089.5296,101042.6641,101003.2555,100975.8255,101018.9816,101158.5281,101436.085,101454.7245,101471.9357,101386.0198,101237.6191,101159.183,101121.7585,101128.1952
2,98049.82147,98238.0639,98263.22011,98289.37502,98252.53652,98190.34285,98177.65654,98222.94898,98283.37292,98066.51246,98001.8403,97908.07046,98050.06434,98210.96912,98262.51968,98274.70305,98251.6831,98122.53081,98190.03551,98194.54153,98215.71951,98071.42595,97998.06235,97931.52712,98052.54424,98279.7458,98276.55929,98301.055,98259.93818,98149.76579,98208.59388,98265.35578,98441.19992
3,96234.47068,96324.30056,96351.82644,96421.49541,96518.51847,96588.60281,96778.06625,96958.43994,97070.87038,96818.23244,96558.93741,96350.88707,96279.78394,96344.91189,96327.98888,96382.04965,96464.34901,96578.65589,96942.18828,96911.46065,96930.9031,96778.30922,96600.22332,96312.60904,96316.5815,96409.09606,96381.21684,96415.30271,96507.82917,96513.47547,96890.2682,97000.83714,97411.36828
4,95739.28804,95906.42355,95854.28045,95983.92491,96220.192,96349.06635,96445.37612,96762.87188,97002.06305,96600.50949,96201.66403,95879.55412,95894.47317,95854.04607,95883.92416,95984.87899,96159.36561,96332.62541,96853.23248,96546.49283,96695.71959,96485.31706,96310.01016,95888.31444,96024.15964,95966.58289,95999.63865,95899.18897,96103.27364,96160.98845,96628.87607,96899.13248,97500.97803
5,100848.5772,101154.9298,101125.955,101171.4875,101495.9262,101123.8567,101185.8145,101671.8683,101823.5442,101464.6428,101106.0563,101016.4964,101028.6579,101207.6156,101286.9523,101195.9201,101226.7472,101262.8523,101993.6059,100584.4687,101454.7893,101421.8527,101446.901,101006.2978,101473.0177,101191.3723,101085.1197,101161.4273,101336.9872,101078.7818,101361.2078,101505.9356,102652.7117
6,100836.4419,100600.1822,100728.9499,100893.3775,100938.8105,100435.5513,100873.4677,101247.0933,101749.0509,101177.639,99874.0325,101228.0147,100118.3195,101161.1071,101085.327,101343.7612,100454.2907,100344.8326,101553.3381,99570.80017,100908.6937,100732.9179,100906.6835,101316.2648,101027.5767,100669.9235,101163.1538,100814.1677,100724.6996,100254.6497,100344.5903,100522.3518,101669.073
7,101777.5813,100819.0882,101121.9312,101096.3957,100948.0456,100443.4247,101080.7133,100272.2914,100905.2817,101356.3212,100090.231,101965.5625,100954.2999,101289.9283,101039.5004,101564.7608,100770.6539,99980.64946,100928.1975,100174.5087,101193.1835,101090.7133,100551.6927,101426.179,101329.776,101456.8341,101643.5091,100589.7802,100771.3483,100634.5854,99967.61862,99908.53696,100109.329
8,101927.8828,101235.3737,101582.7615,101305.9587,100684.3116,100952.8614,101026.9281,99703.74093,99977.74986,100318.5543,100894.8685,101421.7065,101666.9658,101418.0198,100862.3497,101175.7825,101045.8343,100574.1179,100423.5896,100977.1276,101043.0155,100179.9422,100053.4568,100501.8885,101621.3566,101970.895,100899.3591,100809.8487,100428.6298,100773.2129,99501.64842,99347.34499,98773.65434
9,101397.5659,101622.5586,101643.6247,101661.1314,101555.9721,101501.0948,101403.8703,101269.9461,101266.5423,101164.7298,101214.7116,101176.4695,101342.1723,101570.2953,101648.9056,101645.0638,101565.3532,101392.7374,101306.4443,101268.2504,101194.4806,101121.271,101120.3788,101191.9813,101353.1519,101637.807,101648.1223,101666.3534,101576.1072,101444.2379,101361.7646,101298.4838,101231.3512
10,101774.9425,101961.7582,101997.7491,102052.1511,101906.0314,101897.7521,101826.5541,101611.844,101591.224,101490.7009,101552.5896,101541.3285,101652.9415,101971.2007,102002.8934,101978.765,101917.4842,101769.655,101686.9677,101651.6247,101523.2381,101440.4242,101486.5664,101589.6707,101703.936,102024.8248,102027.6487,102092.9344,101881.2142,101811.057,101717.3329,101672.1263,101527.326
11,102088.2974,102395.5875,102294.0873,102435.8548,102203.9468,102360.3364,102362.0395,101998.9182,102073.3984,102002.6109,102041.7302,101988.7357,101845.9371,102438.1235,102178.479,102317.2752,102200.0367,102127.4992,102105.1007,102175.4547,101933.2853,101922.8284,102051.1433,102121.7144,101815.8469,102238.2764,102480.343,102554.0636,102215.3491,102223.5287,102086.5164,101914.1322,101857.2783
12,101348.056,102239.6442,101796.3291,101855.5436,101679.0736,101958.2602,102336.4755,101427.605,102125.9696,101880.9785,101927.171,101766.5524,101622.924,101986.6903,101321.6525,102263.3261,101592.5927,101616.7672,101927.4007,102029.1366,101553.7353,101710.5855,102189.7446,102127.0301,101106.4942,101359.7315,102011.0598,101825.1514,101763.0371,102093.0763,101688.7355,101205.2301,101258.0874
13,99168.09908,100105.8673,99995.76509,99930.15455,100033.5682,100160.1974,100770.537,99632.21787,100687.284,100047.5059,100587.7807,100269.3444,99941.32857,99905.13628,99104.12327,100986.0144,99861.63442,99922.03876,100432.5656,100206.8631,99990.48314,99961.15061,100737.0395,100333.211,99776.59163,99682.66939,100242.1169,99682.94408,99929.50277,100658.9857,99853.63669,99400.90912,99321.66832
